aX,aY,aZ,gX,gY,gZ
-0.744,0.844,0.300,-13.123,290.649,-383.362
-0.739,0.728,0.126,39.795,373.413,-393.188
-0.828,0.653,-0.109,109.558,469.910,-392.395
-0.923,0.606,-0.361,152.466,556.946,-384.888
-1.010,0.581,-0.584,162.476,622.803,-374.817
-1.088,0.552,-0.789,163.879,668.640,-364.807
-1.209,0.508,-0.968,165.833,699.829,-355.713
-1.368,0.450,-1.131,170.044,718.750,-343.994
-1.536,0.398,-1.271,171.143,731.262,-325.012
-1.645,0.373,-1.433,167.725,734.497,-295.410
-1.647,0.392,-1.581,149.719,724.548,-261.353
-1.560,0.416,-1.826,160.461,707.397,-224.548
-1.438,0.472,-2.030,144.226,667.603,-181.702
-1.275,0.554,-2.216,113.525,613.159,-142.822
-1.094,0.637,-2.396,102.112,545.837,-111.023
-0.915,0.723,-2.533,81.421,461.914,-84.717
-0.805,0.800,-2.637,61.340,361.328,-61.829
-0.741,0.877,-2.682,28.198,252.502,-40.894
-0.688,0.955,-2.669,-8.911,138.611,-23.071
-0.624,1.021,-2.590,-41.077,23.987,-10.620
-0.591,1.058,-2.388,-70.129,-88.013,-5.493
-0.604,1.032,-2.096,-93.018,-192.627,-5.920
-0.690,0.972,-1.815,-104.736,-287.354,-5.981
-0.807,0.923,-1.531,-121.094,-357.849,-1.038
-0.821,0.910,-1.303,-134.277,-400.635,10.437
-0.820,0.906,-1.121,-137.451,-427.124,22.522
-0.812,0.908,-0.973,-135.254,-442.383,32.349
-0.743,0.936,-0.839,-134.399,-449.097,40.833
-0.621,0.957,-0.735,-120.483,-445.068,42.114
-0.504,0.959,-0.639,-98.572,-441.284,34.363
-0.445,0.930,-0.536,-80.811,-440.735,20.752
-0.394,0.889,-0.430,-65.491,-439.209,5.920
-0.312,0.846,-0.342,-50.049,-432.678,-7.263
-0.257,0.788,-0.266,-37.476,-426.819,-20.508
-0.250,0.725,-0.182,-38.940,-425.049,-31.189
-0.208,0.680,-0.098,-51.025,-421.997,-35.156
-0.118,0.648,-0.030,-58.960,-415.771,-35.583
-0.059,0.611,0.045,-67.932,-412.537,-36.743
-0.017,0.570,0.130,-78.308,-412.537,-38.330
0.037,0.532,0.223,-88.318,-412.659,-38.391
0.082,0.500,0.325,-96.436,-410.645,-37.170
0.100,0.458,0.417,-94.421,-402.283,-35.828
0.147,0.416,0.488,-82.520,-385.986,-34.363
0.197,0.372,0.544,-72.266,-366.516,-31.494
0.238,0.332,0.595,-71.838,-347.778,-26.733
0.267,0.309,0.668,-87.524,-332.092,-18.738
0.270,0.302,0.757,-114.319,-313.843,-6.775
0.307,0.313,0.805,-120.972,-286.743,9.277
0.346,0.355,0.858,-131.592,-256.531,28.259
0.409,0.419,0.908,-146.973,-224.121,45.532
0.461,0.484,0.944,-155.396,-188.293,58.350
0.492,0.550,0.971,-160.828,-150.208,65.979
0.500,0.618,0.996,-164.734,-111.755,68.787
0.482,0.666,1.009,-168.091,-73.914,65.308
0.456,0.692,1.039,-181.702,-40.771,55.054
0.440,0.726,1.098,-206.177,-10.132,41.443
0.450,0.766,1.139,-216.675,30.151,26.978
0.459,0.802,1.149,-199.768,85.144,8.850
0.403,0.794,1.120,-161.621,148.376,-15.381
0.314,0.714,1.059,-125.122,212.952,-45.532
0.153,0.554,0.941,-88.379,279.297,-75.928
0.005,0.404,0.766,-44.434,351.807,-95.459
-0.166,0.291,0.566,-5.615,426.941,-101.440
-0.333,0.219,0.366,29.785,498.901,-96.252
-0.604,0.178,0.169,63.293,570.801,-81.116
-0.823,0.202,-0.111,113.098,649.597,-51.575
-1.160,0.287,-0.403,138.489,732.605,-10.437

-2.099,0.579,-1.097,172.180,876.587,73.120
-2.643,0.804,-1.459,174.988,933.472,112.671
-3.002,1.073,-1.879,182.922,972.656,145.325
-3.233,1.384,-2.211,156.860,961.243,168.640
-3.166,1.716,-2.510,110.413,911.743,167.603
-2.841,2.024,-2.861,105.530,831.482,139.648
-2.368,2.272,-3.126,83.313,719.666,88.318
-1.991,2.392,-3.268,59.204,579.224,13.184
-1.715,2.367,-3.303,44.922,420.593,-76.233
-1.603,2.179,-3.212,47.546,256.592,-167.664
-1.560,1.827,-2.976,46.326,96.252,-248.901
-1.527,1.442,-2.657,31.982,-52.124,-310.425
-1.570,1.042,-2.317,17.822,-186.401,-348.877
-1.583,0.689,-1.967,-2.930,-302.429,-358.887
-1.539,0.421,-1.639,-28.809,-404.785,-341.614
-1.427,0.243,-1.310,-54.749,-484.070,-304.565
-1.278,0.137,-1.036,-74.341,-540.710,-256.226
-1.178,0.086,-0.763,-105.652,-590.881,-200.623
-1.119,0.078,-0.499,-138.733,-623.779,-138.000
-1.112,0.121,-0.268,-166.260,-643.250,-70.435
-1.078,0.213,-0.091,-174.744,-645.874,-4.822
-1.007,0.354,0.049,-173.157,-633.667,55.176
-0.900,0.529,0.150,-159.058,-609.802,103.088
-0.747,0.704,0.208,-132.568,-578.064,132.141
-0.615,0.847,0.251,-102.661,-545.715,142.578
-0.485,0.971,0.298,-82.031,-516.296,137.268
-0.360,1.045,0.331,-57.556,-489.563,116.943
-0.265,1.067,0.355,-29.236,-464.783,90.332
-0.188,1.042,0.387,-5.981,-443.665,60.852
-0.133,0.971,0.429,12.512,-428.162,30.396
-0.093,0.872,0.496,21.912,-417.908,3.174
-0.051,0.767,0.575,20.874,-408.386,-16.968
-0.005,0.672,0.650,6.470,-398.682,-30.151
0.043,0.608,0.808,-35.156,-388.977,-37.048
0.077,0.507,0.890,-40.222,-369.324,-40.100
0.125,0.419,0.974,-43.945,-345.215,-38.818
0.159,0.348,1.063,-69.885,-319.580,-31.677
0.179,0.299,1.136,-93.079,-288.757,-17.456
0.174,0.280,1.209,-119.934,-255.798,1.770
0.155,0.302,1.273,-151.550,-219.971,25.269
0.171,0.373,1.319,-176.941,-176.514,52.002
0.162,0.483,1.342,-194.580,-125.244,77.148
0.135,0.614,1.333,-199.402,-67.749,96.069
0.088,0.760,1.303,-197.144,-6.348,106.995
0.045,0.908,1.237,-186.523,59.875,109.436
