aX,aY,aZ,gX,gY,gZ
-0.703,0.817,-1.187,57.129,-41.016,90.820
-0.673,0.720,-1.188,56.213,-42.175,75.867
-0.686,0.824,-1.209,55.054,-43.213,76.111
-0.687,0.974,-1.254,56.213,-44.434,75.317
-0.673,0.989,-1.337,56.274,-47.729,65.674
-0.661,0.865,-1.415,52.307,-55.237,54.321
-0.669,0.824,-1.399,43.091,-69.702,51.025
-0.681,1.036,-1.295,35.522,-86.914,56.519
-0.661,1.226,-1.194,33.142,-97.717,54.443
-0.619,1.228,-1.126,31.799,-103.149,39.673
-0.580,1.061,-1.048,26.978,-106.750,22.888
-0.567,0.984,-1.036,23.499,-105.347,14.893
-0.571,1.063,-1.105,25.269,-99.548,12.878
-0.546,1.096,-1.169,27.893,-99.487,6.653
-0.501,0.959,-1.120,24.658,-107.178,-4.883
-0.471,0.863,-0.978,17.456,-117.798,-10.620
-0.446,0.846,-0.876,13.184,-122.742,-10.620
-0.434,0.870,-0.849,13.245,-117.859,-10.864
-0.401,0.909,-0.854,14.404,-112.793,-13.672
-0.368,0.922,-0.867,14.893,-111.816,-19.287
-0.339,0.850,-0.861,14.587,-113.892,-29.236
-0.295,0.745,-0.798,14.099,-118.347,-38.635
-0.228,0.583,-0.663,13.367,-123.230,-45.044
-0.146,0.475,-0.434,9.277,-126.648,-45.044
-0.087,0.522,-0.220,6.287,-122.498,-36.377
-0.050,0.574,-0.122,6.714,-106.873,-31.189
0.002,0.566,-0.133,8.972,-87.097,-32.593
0.055,0.478,-0.176,9.521,-71.594,-37.109
0.093,0.383,-0.193,6.409,-62.012,-39.795
0.122,0.310,-0.178,3.235,-55.359,-39.917
0.133,0.222,-0.200,1.587,-46.936,-39.734
0.147,0.140,-0.273,2.075,-36.255,-38.025
0.161,0.090,-0.317,2.625,-28.809,-33.081
0.165,0.101,-0.305,1.587,-24.963,-25.940
0.153,0.148,-0.300,0.488,-19.958,-18.433
0.137,0.188,-0.347,0.793,-12.451,-14.038
0.120,0.201,-0.417,2.441,-5.615,-12.329
0.094,0.181,-0.474,4.150,-0.916,-12.390
0.071,0.190,-0.528,6.287,3.357,-11.108
0.062,0.230,-0.600,9.399,7.629,-9.094
0.056,0.283,-0.633,12.146,9.399,-8.240
0.053,0.312,-0.612,13.672,8.972,-8.362
0.044,0.308,-0.616,14.771,11.353,-9.155
0.035,0.312,-0.700,16.663,17.639,-8.545
0.030,0.330,-0.782,17.273,21.301,-5.859
0.021,0.333,-0.813,15.076,20.203,-3.357
0.008,0.376,-0.844,12.390,19.226,0.122
0.004,0.460,-0.893,12.878,20.142,4.150
0.007,0.530,-0.925,14.587,19.836,4.944
0.002,0.534,-0.927,14.221,18.066,2.441
-0.012,0.503,-0.924,12.451,17.029,-0.366
-0.041,0.533,-0.945,12.695,18.127,0.427
-0.063,0.581,-0.984,14.282,19.836,1.038
-0.082,0.597,-1.028,14.893,20.264,-0.305
-0.099,0.561,-1.066,14.709,19.165,-2.808
-0.108,0.523,-1.079,14.038,16.418,-4.089
-0.112,0.553,-1.059,12.451,12.329,-2.441
-0.119,0.599,-1.043,11.292,9.766,-1.038
-0.116,0.599,-1.055,10.925,8.911,-1.953
-0.098,0.572,-1.057,9.521,6.836,-2.991
-0.087,0.546,-1.025,7.446,2.258,-2.869
-0.073,0.575,-0.961,5.066,-2.014,-1.099
-0.060,0.613,-0.919,3.845,-3.418,0.244
-0.049,0.594,-0.912,3.357,-2.563,-1.343
-0.036,0.547,-0.924,2.747,-1.465,-3.418
-0.025,0.494,-0.917,1.465,-1.648,-4.395
-0.018,0.493,-0.887,-0.183,-2.502,-3.052
-0.022,0.501,-0.844,-1.587,-2.930,-1.709
-0.023,0.503,-0.839,-1.343,-0.916,-1.587
-0.017,0.510,-0.872,0.793,2.563,-1.587
-0.010,0.504,-0.885,1.831,3.418,-2.075
-0.007,0.489,-0.870,1.465,2.014,-2.563
0.000,0.493,-0.843,1.038,0.427,-2.075
0.000,0.504,-0.813,0.183,-0.427,-1.465
0.000,0.527,-0.816,0.061,0.549,-1.038
0.000,0.536,-0.848,1.526,2.747,-1.587
-0.012,0.518,-0.866,1.770,3.113,-3.052
-0.016,0.485,-0.869,1.282,2.380,-4.028
-0.020,0.455,-0.859,0.610,1.709,-3.784
-0.025,0.482,-0.857,1.038,1.648,-1.587
-0.030,0.536,-0.868,2.258,2.014,0.488
-0.029,0.554,-0.871,3.296,1.770,-0.549
-0.025,0.524,-0.857,2.991,0.549,-2.747
-0.017,0.519,-0.828,2.625,-0.366,-3.296
-0.017,0.543,-0.801,2.686,-0.122,-2.625
-0.024,0.553,-0.801,2.686,2.014,-2.869
-0.029,0.546,-0.829,3.418,4.944,-4.028
-0.033,0.540,-0.867,4.578,6.958,-4.944
-0.032,0.512,-0.895,5.737,6.958,-6.104
-0.031,0.498,-0.883,4.395,4.517,-5.859
-0.035,0.499,-0.856,2.380,1.953,-4.272
-0.042,0.528,-0.859,1.953,2.075,-2.808
-0.031,0.572,-0.880,3.601,3.052,-2.075
-0.020,0.563,-0.869,4.028,1.953,-3.784
-0.019,0.524,-0.827,3.052,0.061,-6.470
-0.021,0.509,-0.821,3.174,1.282,-6.653
-0.026,0.522,-0.859,4.456,4.333,-5.493
-0.025,0.554,-0.901,5.493,5.737,-5.005
-0.020,0.552,-0.907,5.676,4.272,-6.470
-0.010,0.535,-0.869,5.493,1.587,-8.667
0.001,0.546,-0.839,6.165,0.793,-9.033
0.011,0.532,-0.843,7.080,2.441,-10.010
0.021,0.508,-0.867,7.874,4.211,-10.620
0.036,0.469,-0.880,7.385,3.967,-10.559
0.043,0.458,-0.871,5.249,2.380,-8.423
0.040,0.489,-0.850,4.150,1.099,-5.005
0.033,0.532,-0.832,4.639,1.648,-2.991
0.017,0.576,-0.831,5.920,3.967,-3.052
0.003,0.590,-0.872,8.179,7.385,-4.883
0.011,0.555,-0.917,11.658,9.644,-8.118
0.005,0.536,-0.868,11.475,7.019,-9.460
0.001,0.581,-0.807,10.498,5.127,-7.446
0.008,0.572,-0.829,12.024,9.216,-8.301
0.011,0.510,-0.871,12.146,12.695,-10.376
0.016,0.499,-0.861,8.789,11.536,-8.728
0.009,0.538,-0.848,6.226,10.925,-4.944
0.001,0.543,-0.857,4.517,12.024,-3.479
-0.777,0.867,-1.202,52.429,-40.039,139.099
-0.700,0.928,-1.189,55.786,-40.466,122.375
-0.703,0.817,-1.187,57.129,-41.016,90.820
-0.673,0.720,-1.188,56.213,-42.175,75.867
-0.686,0.824,-1.209,55.054,-43.213,76.111
-0.687,0.974,-1.254,56.213,-44.434,75.317
-0.673,0.989,-1.337,56.274,-47.729,65.674
-0.661,0.865,-1.415,52.307,-55.237,54.321
-0.669,0.824,-1.399,43.091,-69.702,51.025
-0.681,1.036,-1.295,35.522,-86.914,56.519
-0.661,1.226,-1.194,33.142,-97.717,54.443
-0.619,1.228,-1.126,31.799,-103.149,39.673
-0.580,1.061,-1.048,26.978,-106.750,22.888
-0.567,0.984,-1.036,23.499,-105.347,14.893
-0.571,1.063,-1.105,25.269,-99.548,12.878
-0.546,1.096,-1.169,27.893,-99.487,6.653
-0.501,0.959,-1.120,24.658,-107.178,-4.883
-0.471,0.863,-0.978,17.456,-117.798,-10.620
-0.446,0.846,-0.876,13.184,-122.742,-10.620
-0.434,0.870,-0.849,13.245,-117.859,-10.864
-0.401,0.909,-0.854,14.404,-112.793,-13.672
-0.368,0.922,-0.867,14.893,-111.816,-19.287
-0.339,0.850,-0.861,14.587,-113.892,-29.236
-0.295,0.745,-0.798,14.099,-118.347,-38.635
-0.228,0.583,-0.663,13.367,-123.230,-45.044
-0.146,0.475,-0.434,9.277,-126.648,-45.044
-0.087,0.522,-0.220,6.287,-122.498,-36.377
-0.050,0.574,-0.122,6.714,-106.873,-31.189
0.002,0.566,-0.133,8.972,-87.097,-32.593
0.055,0.478,-0.176,9.521,-71.594,-37.109
0.093,0.383,-0.193,6.409,-62.012,-39.795
0.122,0.310,-0.178,3.235,-55.359,-39.917
0.133,0.222,-0.200,1.587,-46.936,-39.734
0.147,0.140,-0.273,2.075,-36.255,-38.025
0.161,0.090,-0.317,2.625,-28.809,-33.081
0.165,0.101,-0.305,1.587,-24.963,-25.940
0.153,0.148,-0.300,0.488,-19.958,-18.433
0.137,0.188,-0.347,0.793,-12.451,-14.038
0.120,0.201,-0.417,2.441,-5.615,-12.329
0.094,0.181,-0.474,4.150,-0.916,-12.390
0.071,0.190,-0.528,6.287,3.357,-11.108
0.062,0.230,-0.600,9.399,7.629,-9.094
0.056,0.283,-0.633,12.146,9.399,-8.240
0.053,0.312,-0.612,13.672,8.972,-8.362
0.044,0.308,-0.616,14.771,11.353,-9.155
0.035,0.312,-0.700,16.663,17.639,-8.545
0.030,0.330,-0.782,17.273,21.301,-5.859
0.021,0.333,-0.813,15.076,20.203,-3.357
